#Nome;AnodeLançamento;PersonagemPrincipaleAtor;QuantidadedeVisualizaçõesnaEstreia;AprovaçãodoPúblico;Gênero
66
The Galactic Adventures;2022;Captain Nova (John Smith);1500000;9.45;Ficção Científica
Mystery Detectives;2019;Emily Hart (Sarah Johnson);900000;8.8;Mistério
Epic Fantasy Quest;2020;Sir Alistair (David Roberts);1200000;9.12;Fantasia
Time Warp Chronicles;2017;Professor Harrison (Michael Anderson);1100000;8.75;Ficção Científica
Hospital Life;2018;Dr. Emily Parker (Olivia Adams);1300000;9.2;Drama
Undercover Agents;2015;Agent Max Steel (Alex Turner);1400000;9.05;Ação
The Paranormal Files;2016;John Walker (Richard Harris);900000;8.6;Sobrenatural
Comedy Central;2014;Laura Smith (Emily Wilson);1600000;8.98;Comédia
The Superhero Squad;2021;Dark Shadow (Nina Johnson);800000;9.35;Ação
Historical Mysteries;2013;Edward Archer (Daniel Brown);1000000;8.7;Drama
Tech Wizards;2020;Dr. Sophia Reed (Megan Anderson);1100000;8.82;Ficção Científica
Spy Thrillers;2012;Agent Michael Kane (James Black);1500000;9;Ação
Space Explorers;2016;Captain Alex Grant (Liam Turner);1200000;9.15;Ficção Científica
Magical Realms;2019;Princess Lily (Sophia Robinson);1400000;9.2;Fantasia
Sci-Fi Adventure;2018;Professor Xander (William Davis);1300000;8.97;Ficção Científica
Medical Drama;2017;Dr. Emily Stone (Olivia Adams);1000000;8.76;Drama
Crime Solvers;2015;Det. Olivia Parker (Emily Johnson);900000;8.64;Crime
Fantasy Quest;2022;Elara the Enchantress (Emma Roberts);1100000;9.05;Fantasia
Desert Survival;2014;Jack Robinson (Michael Smith);800000;8.55;Aventura
Island Mysteries;2016;Emma Hart (Sarah Johnson);1200000;8.83;Mistério
The Cyber Detectives;2023;Agent Alex Taylor (Chris Brown);1600000;9.4;Ficção Científica
Lost in Time;2019;Dr. Amelia Wright (Lily Adams);1300000;8.98;Aventura
Wildlife Warriors;2021;Steve Johnson (Matthew Robinson);1100000;9.25;Documentário
Game of Thrones;2011;Jon Snow (Kit Harington);1000000;9;Fantasia
Breaking Bad;2008;Walter White (Bryan Cranston);750000;8.8;Drama
Stranger Things;2016;Eleven (Millie Bobby Brown);800000;8.7;Ficção Científica
Friends;1994;Rachel Green (Jennifer Aniston);900000;9.5;Comédia
Naruto;2002;Naruto Uzumaki (Junko Takeuchi);600000;8;Anime
Black Mirror;2011;N/A;700000;8.4;Ficção Científica
The Crown;2016;Queen Elizabeth II (Olivia Colman);650000;8.9;Drama
Money Heist;2017;Sergio "The Professor" (Álvaro Morte);850000;9.2;Drama
Sherlock;2010;Sherlock Holmes (Benedict Cumberbatch);720000;8.6;Mistério
The Witcher;2019;Geralt of Rivia (Henry Cavill);900000;8.7;Fantasia
The Mandalorian;2019;Din Djarin (Pedro Pascal);820000;8.5;Ficção Científica
The Office;2005;Michael Scott (Steve Carell);680000;8.8;Comédia
Avatar: The Last Airbender;2005;Aang (Zach Tyler Eisen);750000;9.4;Animação
The Handmaid's Tale;2017;Offred (Elisabeth Moss);730000;8.6;Distopia
SpongeBob SquarePants;1999;SpongeBob (Tom Kenny);550000;8.2;Animação
Doctor Who;2005;The Doctor (Jodie Whittaker);690000;8.4;Ficção Científica
Westworld;2016;Dolores Abernathy (Evan Rachel Wood);700000;8.3;Ficção Científica
Lost;2004;Jack Shephard (Matthew Fox);720000;8.1;Mistério
The Big Bang Theory;2007;Sheldon Cooper (Jim Parsons);800000;9;Comédia
Grey's Anatomy;2005;Meredith Grey (Ellen Pompeo);820000;8.9;Drama
Mindhunter;2017;Holden Ford (Jonathan Groff);690000;8.5;Drama
The Simpsons;1989;Homer Simpson (Dan Castellaneta);600000;8.3;Animação
Dexter;2006;Dexter Morgan (Michael C. Hall);680000;8.7;Drama
Riverdale;2017;Archie Andrews (KJ Apa);750000;7.8;Drama
The Haunting of Hill House;2018;N/A;730000;8.6;Terror
BoJack Horseman;2014;BoJack Horseman (Will Arnett);600000;8.5;Animação
The Umbrella Academy;2019;Luther Hargreeves (Tom Hopper);700000;8;Ficção Científica
Scooby-Doo: Where Are You!;1969;Scooby-Doo (Don Messick);800000;8.2;Animação
The Flintstones;1960;Fred Flintstone (Alan Reed);700000;7.5;Animação
Tom and Jerry;1940;Tom (William Hanna);600000;8.1;Animação
Pokémon;1997;Ash Ketchum (Veronica Taylor);750000;8.6;Anime
The Jetsons;1962;George Jetson (George O'Hanlon);650000;7.9;Animação
The Powerpuff Girls;1998;Blossom (Cathy Cavadini);680000;8;Animação
Dora the Explorer;2000;Dora (Kathleen Herles);720000;8.2;Animação
Teen Titans;2003;Robin (Scott Menville);740000;8.3;Animação
Family Guy;1999;Peter Griffin (Seth MacFarlane);800000;8.7;Animação
South Park;1997;Stan Marsh (Trey Parker);760000;8.4;Animação
Dark;2017;Jonas Kahnwald (Louis Hofmann);110000;8.8;Ficção Científica
The Walking Dead;2010;Rick Grimes (Andrew Lincoln);140000;8.2;Terror
La Casa de Papel;2017;O Professor (Álvaro Morte);110000;8.4;Crime
Smallville;2001;Clark Kent (Tom Welling);120000;7.5;Super-Herói
24 Horas;2001;Jack Bauer (Kiefer Sutherland);240000;8.4;Policial
Mr. Robot;2015;Elliot Alderson (Rami Malek);1600000;8.5;Drama
